time,price,portfolio_value,action,action_name,amount_bought,amount_sold,cash,shares,commission
291,8.237475,9967.552215,0,nothing,0.000000,0.000000,7202.056739,344.732628,0.000000
292,8.177916,10018.092432,0,nothing,0.000000,0.000000,7202.056739,344.732628,0.000000
293,8.200823,10097.061369,4,nothing,0.000000,0.000000,7202.056739,344.732628,0.000000
294,8.310778,10083.110789,1,sell-large,0.000000,172.366314,8646.664050,172.366314,2.895005
295,8.063379,10048.515087,0,buy-small,103.548067,0.000000,7781.997645,275.914381,1.729333
296,7.834306,10025.761256,0,nothing,0.000000,0.000000,7781.997645,275.914381,0.000000
297,7.696862,10072.532882,0,nothing,0.000000,0.000000,7781.997645,275.914381,0.000000
298,8.127520,10123.096400,3,nothing,0.000000,0.000000,7781.997645,275.914381,0.000000
299,8.067961,10025.925018,4,sell-small,0.000000,27.591438,8015.639300,248.322943,0.468220
300,8.077123,10015.382232,0,sell-large,0.000000,124.161471,9018.771874,124.161471,2.010286
